Country,Year,HRSN,CPNK,VALK,GHG
AUS,2010,"19,614.5 ",2952176.5,914377.0,537.16
AUS,2011,"19,949.9 ",3071779.7,951464.7,538.54
AUS,2012,"20,060.5 ",3192681.1,977274.9,541.26
AUS,2013,"20,181.6 ",3300697.4,1003749.5,531.33
AUS,2014,"20,359.3 ",3391029.7,1027981.2,525.79
AUS,2015,"20,684.5 ",3465641.2,1056251.5,533.28
AUT,2010,"6,827.0 ",1156202.4,263633.5,85.06
AUT,2011,"6,957.5 ",1171900.1,272240.3,82.70
AUT,2012,"6,929.5 ",1187259.8,273680.1,80.04
AUT,2013,"6,887.0 ",1202722.4,274071.2,80.15
AUT,2014,"6,907.7 ",1216785.1,276477.1,76.38
AUT,2015,"6,851.8 ",1230953.7,279068.1,78.85
BEL,2010,"6,916.1 ",1077532.6,326533.7,132.44
BEL,2011,"7,073.4 ",1089213.3,333538.5,121.80
BEL,2012,"7,105.4 ",1100001.9,334188.3,119.00
BEL,2013,"7,073.5 ",1109029.5,334735.0,119.38
BEL,2014,"7,091.6 ",1122557.7,339255.5,114.08
BEL,2015,"7,105.8 ",1137480.9,344613.9,117.44
CAN,2010,"29,437.5 ",2528549.9,1138823.9,700.84
CAN,2011,"29,841.8 ",2607483.4,1176378.4,707.45
CAN,2012,"30,392.9 ",2696009.0,1198810.8,716.28
CAN,2013,"30,709.0 ",2782294.7,1229103.2,729.21
CAN,2014,"30,817.3 ",2869221.5,1264433.2,727.16
CAN,2015,"31,170.1 ",2935735.6,1276708.3,721.80
CZE,2010,"9,100.5 ",683713.4,141744.7,138.63
CZE,2011,"9,106.6 ",694913.0,144589.3,136.92
CZE,2012,"8,995.4 ",706455.8,143370.3,133.56
CZE,2013,"8,957.7 ",716320.6,142666.1,129.75
CZE,2014,"9,077.3 ",727528.0,147517.5,125.84
CZE,2015,"9,100.3 ",737940.6,154487.7,127.13
DNK,2010,"3,965.2 ",771722.2,209855.8,64.36
DNK,2011,"4,004.3 ",763044.7,213101.1,59.11
DNK,2012,"3,938.1 ",756898.8,213566.2,54.25
DNK,2013,"3,943.9 ",758886.8,215529.2,56.09
DNK,2014,"3,951.1 ",765393.4,219221.3,51.88
DNK,2015,"3,995.3 ",772189.3,222314.8,49.43
